track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
0,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,acoustic
1,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,acoustic
2,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,acoustic
3,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,acoustic
4,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,acoustic
5,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,acoustic
6,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,acoustic
7,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,acoustic
8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,acoustic
9,Ross Copperman,Hunger,Hunger,56,205594,False,0.442,0.632,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,acoustic
10,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,False,0.627,0.363,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,acoustic
11,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,False,0.483,0.303,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,acoustic
12,Dan Berk,Solo,Solo,52,198712,False,0.489,0.314,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,acoustic
13,Anna Hamilton,Bad Liar,Bad Liar,62,248448,False,0.691,0.234,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,acoustic
14,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,False,0.755,0.78,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,acoustic
15,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,acoustic
16,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,False,0.706,0.112,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,acoustic
17,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,False,0.795,0.0841,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,acoustic
18,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,False,0.625,0.414,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,acoustic
19,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,False,0.717,0.32,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,acoustic
20,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,acoustic
21,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,False,0.678,0.351,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,acoustic
22,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,acoustic
50,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,213098,False,0.596,0.2,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,acoustic
51,Motohiro Hata,Documentary,透明だった世界,61,232360,False,0.373,0.914,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,acoustic
52,Andrew Belle,Black Bear,Pieces,60,241119,False,0.494,0.652,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,acoustic
53,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,False,0.447,0.393,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,acoustic
54,Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,171543,False,0.576,0.331,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,acoustic
55,Andrew Belle,Black Bear,The Enemy,62,286865,False,0.536,0.89,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,acoustic
56,Aron Wright,Build It Better,Build It Better,51,234473,False,0.526,0.333,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,acoustic
58,Sara Bareilles,Little Voice,Gravity,67,232760,False,0.27,0.275,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,acoustic
59,Chord Overstreet,What's Left of You,What's Left of You,57,178600,True,0.731,0.507,-6.477,1,0.046,0.572,0.0,0.0912,0.265,117.969,acoustic
60,Zack Tabudlo,Pano,Pano,75,254400,False,0.375,0.457,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,acoustic
61,Andrew Belle,The Daylight EP,Sky's Still Blue,62,244320,False,0.43,0.791,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,acoustic
62,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,False,0.616,0.282,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,acoustic
63,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,False,0.705,0.347,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,acoustic
64,Tim Halperin,Covers,Always Be My Baby,62,181852,False,0.582,0.255,-10.254,1,0.0306,0.772,0.0,0.0889,0.285,139.884,acoustic
65,Canyon City,Midnight Waves,Alone with You,58,186584,False,0.549,0.274,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,acoustic
66,Aaron Espe,Making All Things New,Making All Things New,65,159600,False,0.787,0.355,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,acoustic
67,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67,250266,False,0.397,0.303,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,acoustic
68,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,318908,False,0.548,0.42,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,acoustic
69,Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,False,0.787,0.403,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,acoustic
70,Ron Pope,Whatever It Takes,A Drop In the Ocean,55,219480,False,0.484,0.573,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,acoustic
71,Five For Fighting,America Town,Superman (It's Not Easy),70,221693,False,0.382,0.416,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,acoustic
72,Andrew Belle,Dive Deep,When the End Comes,57,354400,False,0.541,0.575,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,acoustic
73,Bailey Jehl,You're Still The One,You're Still The One,56,177500,False,0.607,0.473,-8.555,1,0.034,0.712,0.0,0.66,0.54,119.698,acoustic
74,Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56,247840,False,0.417,0.595,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,acoustic
75,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,216386,False,0.572,0.454,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,acoustic
76,A Great Big World,When the Morning Comes,Kaleidoscope,62,229320,False,0.709,0.913,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,acoustic
77,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,45,330933,False,0.537,0.342,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,acoustic
78,Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64,172213,False,0.602,0.336,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,acoustic
79,Jason Mraz,Know.,Have It All,65,226106,False,0.643,0.638,-4.947,0,0.0407,0.204,0.0,0.0707,0.6,82.001,acoustic
82,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68,236306,False,0.561,0.327,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,acoustic
85,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61,164500,False,0.436,0.4,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,acoustic
86,Sara Bareilles,The Blessed Unrest,Brave,70,220573,False,0.551,0.836,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,acoustic
89,Five For Fighting,Bookmarks,Heaven Knows,62,210612,False,0.6,0.845,-7.076,1,0.0311,0.048,0.0,0.24,0.392,97.631,acoustic
100,Motohiro Hata,言ノ葉,Rain,58,293040,False,0.626,0.655,-6.69,1,0.0263,0.503,0.0,0.13,0.542,92.003,acoustic
101,Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,50,138495,False,0.794,0.38,-8.769,0,0.0477,0.762,0.0,0.262,0.617,114.99,acoustic
102,Andrew Belle,Black Bear (Hushed),Pieces (Hushed),59,198626,False,0.52,0.279,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,acoustic
103,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57,292566,False,0.545,0.658,-7.174,1,0.0474,0.496,0.0,0.105,0.683,76.971,acoustic
104,Boyce Avenue,Stand by Me,Stand by Me,60,199019,False,0.728,0.266,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,acoustic
105,Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61,181760,False,0.66,0.407,-8.381,1,0.0571,0.236,0.0,0.109,0.257,133.86,acoustic
106,Mone Kamishiraishi,chouchou,なんでもないや - movie ver.,49,349920,False,0.357,0.161,-10.667,1,0.0388,0.971,1.4e-05,0.358,0.325,83.449,acoustic
107,John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,55,204973,False,0.479,0.154,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,147.207,acoustic
108,Kitri,Hikare Inochi,Hikare Inochi,51,322146,False,0.592,0.769,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,acoustic
109,Tyler Ward,Songs From Nashville,How To Lose a Girl,46,210375,False,0.7,0.454,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,acoustic
110,Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57,131000,False,0.402,0.197,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,100.044,acoustic
111,Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),58,218531,False,0.507,0.378,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,acoustic
112,Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),51,195945,False,0.619,0.226,-13.453,1,0.0641,0.959,4.42e-05,0.106,0.188,124.96,acoustic
113,Augustana,All The Stars and Boulevards,Boston,63,245933,False,0.404,0.571,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,acoustic
114,Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,53,212386,False,0.418,0.79,-6.599,0,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,acoustic
115,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,False,0.633,0.299,-7.798,1,0.0353,0.833,0.0,0.109,0.341,147.549,acoustic
116,Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),47,112008,False,0.565,0.0392,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,acoustic
117,Kina Grannis,You Are My Sunshine,You Are My Sunshine,60,123609,False,0.664,0.0755,-19.836,1,0.0389,0.91,0.0,0.164,0.575,80.004,acoustic
118,Jason Mraz,I Won't Give Up,I Won't Give Up,66,240165,False,0.585,0.303,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,acoustic
119,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,67,265843,False,0.65,0.271,-11.081,1,0.0314,0.794,6.9e-05,0.196,0.21,78.036,acoustic
120,Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,43,194194,False,0.534,0.213,-8.64,1,0.0283,0.884,0.0,0.107,0.0998,98.385,acoustic
121,Catherine Feeny,Hurricane Glass,Mr Blue,54,154600,False,0.456,0.386,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,acoustic
122,Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60,158960,False,0.409,0.234,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,acoustic
123,Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go,49,319000,False,0.502,0.53,-9.573,1,0.0266,0.805,0.000738,0.0728,0.102,78.046,acoustic
